CustomerId,Surname,Gender,Age,Geography,IsActiveMember,HasPremiumMembership
97,Graham,Male,41,Canada,1,0
98,Yuille,Male,29,UK,1,1
99,Allard,Male,22,Canada,0,0
100,Fanucci,Male,34,USA,0,0
101,Fu,Female,40,USA,1,1
102,Hung,Female,44,USA,0,0
103,Hung,Male,31,USA,0,1
104,Bradley,Male,36,Canada,0,1
105,Dunbabin,Female,65,Canada,1,1
106,Mauldon,Female,46,Canada,1,1
107,Stiger,Male,32,UK,1,1
108,Parsons,Female,36,UK,1,0
109,Walkom,Male,33,Canada,0,0
110,T'ang,Male,35,UK,0,1
111,Eremenko,Male,30,UK,1,0
112,Rowntree,Male,39,UK,0,1
113,Thorpe,Male,42,USA,0,0
114,Chiemela,Male,36,Canada,1,0
115,Fanucci,Male,28,UK,1,0
116,Ko,Female,30,UK,1,1
117,Welch,Female,37,UK,0,1
118,Duncan,Female,41,USA,0,1
119,Chidozie,Female,31,UK,0,1
120,Wu,Male,34,UK,0,1
121,Culbreth,Male,34,USA,0,0
122,Kennedy,Male,39,Canada,0,0
123,Cameron,Female,39,USA,0,1
124,Calabresi,Female,48,UK,1,1
125,Zetticci,Female,28,USA,0,0
126,Fuller,Male,42,USA,0,1
127,MacDonald,Female,52,USA,1,0
128,Piccio,Male,56,UK,0,1
129,Kennedy,Female,41,USA,0,1
130,Fernie,Male,24,USA,0,1
131,He,Female,34,USA,1,1
132,Kaodilinakachukwu,Female,33,UK,1,1
133,Cocci,Male,38,USA,1,1
134,Alekseeva,Male,25,USA,1,0
135,Chinweike,Male,39,UK,1,1
136,Arthur,Female,50,UK,1,1
137,Li,Female,34,UK,1,0
138,Ma,Male,40,USA,1,0
139,Chia,Female,48,Canada,0,1
140,Vasin,Female,35,Canada,1,0
141,Groves,Male,44,UK,0,1
142,Tien,Male,34,USA,1,1
143,Forwood,Female,43,USA,1,1
144,Greeves,Male,52,Canada,0,1
145,Taylor,Female,31,USA,0,1
146,Madukwe,Female,21,Canada,1,1
147,Bennelong,Female,29,Canada,0,1
148,Olisanugo,Male,37,USA,0,0
149,Chukwufumnanya,Male,44,USA,0,1
150,Harris,Male,32,USA,1,0
151,Morgan,Female,32,Canada,0,1
152,Alexeeva,Female,48,USA,0,1
153,Metcalfe,Male,42,Canada,0,1
154,Humphries,Male,37,USA,0,1
155,Milne,Female,43,USA,1,1
156,Chou,Male,57,Canada,0,1
157,Li,Female,33,USA,0,0
158,Clayton,Female,28,Canada,1,1
159,Maclean,Female,73,USA,1,0
160,Chigolum,Female,33,UK,0,0
161,Wilkinson,Female,22,Canada,1,0
162,Wei,Male,30,USA,0,1
163,Treacy,Female,49,USA,0,0
164,Hu,Female,36,Canada,1,1
165,Taverner,Male,29,Canada,0,1
166,Sherman,Male,31,UK,1,1
167,Taubman,Female,24,UK,0,1
168,Robinson,Female,41,Canada,0,1
169,Pinto,Female,39,Canada,0,1
170,Wood,Male,24,UK,0,0
171,Hawkins,Female,29,USA,0,1
172,Sun,Male,27,UK,0,1
173,Yost,Male,44,UK,0,1
174,Ting,Male,30,USA,0,1
175,Rowe,Male,40,USA,1,1
176,Fu,Female,35,Canada,1,1
177,Ho,Female,30,USA,1,1
178,Okechukwu,Male,36,UK,0,0
179,Campbell,Female,40,Canada,1,0
180,Ashbolt,Female,55,UK,0,1
181,Rozier,Female,45,Canada,1,1
182,Hsia,Male,65,USA,1,1
183,Ogbonnaya,Female,45,UK,0,1
184,T'ang,Male,42,USA,1,1
185,Cocci,Female,50,USA,1,1
186,Chang,Male,32,USA,0,1
187,T'ao,Female,39,USA,0,1
188,Ford,Female,37,Canada,1,0
189,Marshall,Male,30,Canada,1,0
190,Tsai,Female,34,UK,0,1
191,Onwumelu,Female,41,USA,0,0
192,Graham,Female,36,USA,0,1
193,Golovanov,Male,40,USA,0,0
194,Potts,Male,32,USA,0,1
195,Crawford,Male,29,Canada,0,1
196,Aleshire,Male,35,USA,1,1
197,Moran,Female,32,Canada,1,1
198,Samsonova,Male,37,UK,1,1
199,Jenkins,Male,57,USA,1,1
200,Volkov,Male,35,USA,0,1
201,Chiemezie,Male,30,Canada,1,1
202,Jude,Male,42,USA,1,0
203,He,Male,50,Canada,1,0
204,Onuora,Female,38,USA,1,1
205,Ginikanwa,Male,33,Canada,0,1
206,Ku,Male,37,USA,1,1
207,McDonald,Female,41,Canada,0,0
208,Collins,Male,34,USA,1,1
209,Hackett,Male,45,USA,0,1
210,Dike,Male,45,USA,1,0
211,Trevisano,Male,33,UK,0,1
212,Tan,Male,31,USA,1,1
213,Glassman,Female,41,USA,0,0
214,Miller,Female,34,USA,1,1
215,Kornilova,Male,26,UK,0,0
216,Watson,Male,47,UK,1,0
217,Marchesi,Male,46,USA,0,1
218,Millar,Female,33,Canada,0,0
219,Shih,Male,43,USA,0,1
220,Fuller,Male,54,USA,1,1
221,Hay,Female,31,USA,1,1
222,Yang,Male,30,Canada,1,0
223,McIntyre,Male,42,USA,1,1
224,Stevenson,Male,33,USA,0,1
225,Poole,Male,45,UK,1,1
226,Bagley,Male,37,USA,0,1
227,Ch'ien,Female,30,USA,1,1
228,Cattaneo,Female,39,UK,1,1
229,O'Sullivan,Male,50,UK,0,1
230,Lucas,Female,29,UK,0,1
231,Ringrose,Male,72,USA,1,0
232,Freeman,Male,40,USA,0,1
233,Sergeyev,Female,37,USA,1,0
234,Fiore,Male,20,UK,1,0
235,Smith,Female,67,USA,1,0
236,Dumetochukwu,Male,42,UK,0,1
237,Pacheco,Female,29,USA,1,1
238,Synnot,Female,43,UK,0,1
239,Johnston,Female,46,USA,0,1
240,Stevens,Male,28,USA,1,0
241,Grant,Male,38,Canada,0,1
242,Tsao,Female,39,UK,0,1
243,Barnes,Male,37,USA,1,0
244,McIntosh,Male,67,UK,1,1
245,Madison,Male,34,Canada,0,1
246,Ifesinachi,Female,40,USA,0,1
247,Glazkov,Male,26,UK,0,1
248,Dimauro,Female,26,USA,1,1
249,Wieck,Male,24,UK,1,1
250,Liao,Male,54,UK,0,1
251,Hughes,Female,36,UK,0,0
252,Morrison,Female,34,Canada,1,1
253,Matveyeva,Female,79,USA,1,0
254,Ku,Male,37,UK,1,1
255,Cheatham,Male,28,Canada,0,0
256,Yao,Male,41,Canada,1,0
257,Kirkland,Male,34,USA,1,1
258,Rose,Female,34,UK,0,0
259,Jess,Female,30,USA,1,1
260,Welch,Male,38,UK,1,1
261,Ifeajuna,Male,42,UK,1,1
262,Morton,Female,48,Canada,0,1
263,Rossi,Female,32,USA,0,1
264,Reppert,Female,26,USA,1,0
265,Kang,Male,31,Canada,1,1
266,Ch'iu,Female,36,Canada,0,1
267,Wallis,Male,34,USA,1,1
268,Clark,Male,36,USA,0,1
269,Fielding,Female,39,Canada,0,0
270,Zetticci,Female,35,UK,0,1
271,Dulhunty,Male,41,Canada,1,0
272,Bevington,Male,34,UK,0,1
273,Boyle,Female,34,UK,1,1
274,Newton,Male,30,USA,0,1
275,Bowman,Male,28,UK,1,0
276,Dubinina,Female,37,Canada,1,1
277,Toscani,Male,62,USA,1,1
278,Chiazagomekpere,Female,53,USA,0,1
279,Allen,Male,35,USA,1,0
280,K'ung,Male,46,USA,0,1
281,Wilsmore,Male,39,USA,1,1
282,Hargreaves,Male,29,Canada,1,1
283,Huang,Male,35,UK,1,1
284,Ch'ien,Male,42,USA,1,1
285,Wallwork,Female,22,USA,1,0
286,Chu,Male,40,USA,0,1
287,Kang,Male,29,Canada,0,1
288,Davidson,Female,32,USA,0,1
289,O'Donnell,Female,26,Canada,1,1
290,Nnachetam,Male,34,Canada,0,1
291,Chidiebele,Male,42,UK,1,0
292,Ahmed,Female,41,Canada,0,1
293,Booth,Male,27,USA,0,1
294,Chuang,Female,34,Canada,0,0
295,Shao,Male,38,USA,1,1
296,Tsao,Male,25,USA,0,1
297,Tien,Female,31,USA,1,1
298,Chang,Female,44,Canada,0,1
299,Johnson,Male,58,USA,1,1
300,French,Male,33,USA,1,1
301,Efremov,Female,31,USA,0,1
302,Hartley,Female,36,Canada,0,0
303,Calabrese,Male,35,USA,0,1
304,Chiu,Female,33,USA,1,1
305,Brennan,Male,33,USA,0,0
306,Onwuatuegwu,Male,31,USA,1,1
307,Hewitt,Male,43,USA,1,1
308,Shih,Male,35,UK,0,1
309,Balashov,Male,50,USA,0,1
310,Doyle,Male,31,UK,0,1
311,Pokrovskii,Female,80,USA,1,1
312,Collins,Male,30,UK,0,1
313,Russo,Male,38,USA,0,0
314,Skinner,Female,59,UK,0,1
315,Robertson,Male,36,Canada,1,1
316,Atkinson,Male,37,Canada,0,0
317,Doyle,Male,49,USA,0,1
318,Ritchie,Male,42,Canada,1,1
319,McEncroe,Female,22,Canada,0,1
320,Pearson,Male,24,USA,0,1
321,Gordon,Female,57,Canada,1,1
322,Ts'ai,Female,30,USA,1,1
323,Lung,Male,40,USA,0,1
324,Yuan,Female,31,USA,0,0
325,Pardey,Male,30,USA,0,1
326,Tai,Male,35,USA,0,1
327,Scott,Male,35,USA,0,1
328,Hunter,Female,46,USA,0,1
329,Mazzanti,Male,35,UK,1,1
330,L?,Male,26,UK,1,1
331,Beach,Male,50,USA,1,0
332,Hsieh,Female,40,Canada,0,1
333,Faulkner,Male,44,UK,1,0
334,Knowles,Female,30,UK,0,1
335,Day,Female,37,Canada,0,1
336,Hsueh,Male,29,USA,0,1
337,Tsao,Female,32,UK,1,0
338,Kennedy,Male,33,USA,0,1
339,Nwabugwu,Female,39,Canada,0,1
340,Young,Female,39,UK,0,1
341,Kerr,Female,40,UK,1,0
342,Tien,Male,31,USA,0,0
343,Marrero,Female,47,Canada,1,1
344,White,Male,22,USA,0,0
345,Pisano,Female,25,USA,0,1
346,Brown,Female,43,USA,0,1
347,Freeman,Female,34,UK,0,1
348,Russell,Male,59,UK,1,1
349,Seleznyov,Female,32,UK,1,1
350,Yusupova,Male,39,USA,1,1
351,Foley,Male,32,Canada,1,1
352,Shih,Male,39,Canada,1,1
353,Ikedinachukwu,Female,32,Canada,0,1
354,Power,Male,25,Canada,1,1
355,Amos,Female,45,USA,1,1
356,Reed,Male,30,USA,0,1
357,Simmons,Female,57,Canada,1,1
358,Ricci,Male,34,Canada,0,1
359,Yen,Male,41,USA,1,1
360,Campbell,Male,58,USA,1,0
361,West,Male,28,Canada,1,0
362,Robinson,Female,45,UK,1,0
363,Bianchi,Female,50,USA,1,1
364,Chen,Female,29,UK,0,1
365,Madukaego,Male,68,USA,1,1
366,Ibrahimova,Female,33,Canada,1,1
367,Nolan,Female,42,UK,0,1
368,Scott,Female,35,UK,1,1
369,Blair,Male,34,UK,1,0
370,Monaldo,Female,29,USA,0,1
371,Sutherland,Male,42,Canada,1,1
372,Cole,Female,75,UK,1,0
373,Briggs,Male,31,UK,1,1
374,Gregory,Male,31,UK,1,1
375,Bianchi,Male,35,UK,1,1
376,Angelo,Female,39,USA,1,0
377,Gardiner,Male,45,UK,1,1
378,Kerr,Male,35,Canada,0,1
379,Ko,Female,30,Canada,0,1
380,Distefano,Female,39,Canada,0,0
381,Farrell,Female,50,USA,1,1
382,Milano,Male,36,USA,0,1
383,Ting,Female,30,UK,1,0
384,Boyd,Male,28,UK,0,1
385,Onyemaechi,Male,44,UK,0,1
386,Black,Female,66,USA,1,1
387,Oliver,Male,46,Canada,0,1
388,Greco,Male,62,Canada,1,1
389,Whitehead,Female,45,Canada,1,0
390,Ikemefuna,Female,21,USA,0,1
391,Morrison,Female,29,UK,1,1
392,Onyeoruru,Male,38,UK,1,1
393,Cunningham,Male,46,Canada,0,1
394,Demidov,Male,38,Canada,0,0
395,Celis,Female,24,Canada,1,1
396,Cheng,Female,37,UK,1,0
397,Knight,Male,33,USA,1,1
398,Morin,Male,32,UK,0,1
399,Mills,Female,39,USA,1,0
400,Outhwaite,Female,66,USA,0,1
401,Tung,Male,52,USA,0,1
402,Pai,Female,38,UK,1,1
403,Carpenter,Male,52,Canada,1,0
404,Fennell,Male,36,Canada,1,0
405,Fontaine,Male,23,USA,1,1
406,Pratt,Male,36,USA,0,1
407,Mitchell,Female,49,Canada,0,0
408,Franklin,Female,37,Canada,0,1
409,K'ung,Male,37,UK,1,1
410,Ko,Female,41,UK,0,1
411,McKenzie,Male,23,Canada,0,0
412,Pino,Male,38,USA,1,1
413,Fisk,Female,31,Canada,1,1
414,Chiang,Female,41,UK,1,1
415,Moseley,Male,35,Canada,0,1
416,Hsiung,Male,26,Canada,0,0
417,Heath,Female,61,UK,0,0
418,Dellucci,Female,39,USA,1,1
419,Li,Female,46,USA,0,0
420,De Salis,Female,28,USA,0,0
421,T'ang,Female,60,UK,0,1
422,Richardson,Female,38,USA,0,1
423,Fitch,Male,40,UK,0,1
424,Stevenson,Female,35,USA,0,1
425,Estes,Male,39,USA,0,1
426,Lattimore,Male,26,USA,0,1
427,Chung,Male,39,UK,0,1
428,Utz,Male,45,USA,1,1
429,Wei,Female,40,UK,0,1
430,Boyle,Male,40,UK,0,0
431,Nwachinemelu,Male,57,UK,1,1
432,Kuznetsova,Male,41,UK,1,0
433,Pisani,Female,33,UK,0,1
434,Manna,Female,37,UK,0,1
435,Collier,Male,33,USA,0,0
436,Ricci,Female,51,USA,1,0
437,Carr,Female,30,UK,0,1
438,Hs?,Male,35,USA,0,0
439,Findlay,Female,38,USA,0,1
440,Hughes,Female,42,UK,1,1
441,Chukwuemeka,Female,35,USA,0,0
442,Genovese,Female,31,USA,0,1
443,Swift,Female,34,USA,1,1
444,Ugoji,Male,46,USA,1,1
445,Parkinson,Male,47,Canada,0,0
446,Ross,Female,26,USA,1,0
447,Oleary,Male,37,USA,0,0
448,Turnbull,Male,40,USA,1,1
449,Uspensky,Female,38,USA,0,0
450,Cook,Female,47,Canada,0,1
451,Newbold,Female,38,UK,0,1
452,Uchechukwu,Male,40,USA,1,0
453,Ch'en,Male,31,Canada,0,0
454,He,Female,44,Canada,0,1
455,Hilton,Female,39,USA,1,0
456,Sal,Male,36,USA,0,1
457,Eluemuno,Male,33,USA,1,1
458,Titus,Male,38,USA,0,1
459,Yin,Male,43,UK,1,0
460,Lettiere,Male,37,Canada,1,1
461,Templeman,Male,29,UK,1,1
462,Chibuzo,Male,39,USA,0,1
463,Sun,Female,25,Canada,0,1
464,Evans,Female,32,USA,1,1
465,Ogbonnaya,Male,26,Canada,1,1
466,Enyinnaya,Male,33,USA,0,1
467,Olisanugo,Female,32,Canada,1,1
468,Brookes,Female,38,UK,0,1
469,Padovano,Male,35,USA,0,1
470,Fisk,Male,35,USA,1,1
471,Shih,Male,27,Canada,1,1
472,Hare,Male,37,USA,0,1
473,Muir,Male,26,USA,0,1
474,Fanucci,Male,28,USA,0,1
475,Elewechi,Female,33,USA,0,1
476,Johnston,Male,46,UK,0,0
477,Pisano,Female,31,UK,1,1
478,Ankudinov,Female,40,USA,0,1
479,Nwokike,Male,38,USA,1,1
480,Smith,Male,29,USA,1,1
481,Atkins,Male,34,Canada,1,0
482,Burns,Female,23,USA,0,1
483,Obiuto,Male,37,USA,0,0
484,Pirozzi,Male,37,UK,0,1
485,George,Male,61,Canada,0,1
486,Lewis,Female,35,USA,1,1
487,Moran,Male,37,USA,0,1
488,Dalrymple,Male,39,USA,1,1
489,Carslaw,Male,30,USA,1,0
490,Kirby,Female,55,UK,1,1
491,Houghton,Male,29,Canada,1,1
492,Martin,Female,41,USA,1,1
493,Tan,Female,38,USA,1,0
494,Hsia,Female,47,USA,0,0
495,Westerberg,Female,38,USA,0,0
496,Hale,Male,36,UK,1,1
497,Kryukova,Female,32,USA,0,1
498,Sopuluchukwu,Male,40,USA,1,1
499,Barry,Male,26,UK,1,1
500,Selezneva,Female,58,USA,1,0
501,Chizuoke,Male,32,Canada,1,1
502,Lueck,Male,54,USA,1,1
503,Udinese,Male,60,USA,0,1
504,Udobata,Male,44,Canada,1,1
505,Freeman,Female,41,Canada,0,0
506,Outlaw,Male,31,USA,0,1
507,Obiuto,Male,30,UK,0,1
508,Lo,Female,40,UK,0,1
509,Okechukwu,Male,22,USA,1,1
510,King,Female,37,Canada,1,1
511,Forbes,Female,31,UK,1,1
512,Macleod,Female,38,UK,0,1
513,Gibbs,Male,34,Canada,0,0
514,Isayev,Male,34,USA,1,1
515,Pisano,Female,51,USA,1,1
516,Belstead,Male,38,Canada,0,1
517,Vassiliev,Female,56,USA,1,0
518,Schneider,Male,37,UK,0,1
519,Mazzanti,Male,48,USA,1,0
520,Knipe,Male,58,USA,1,0
521,Macartney,Female,35,USA,0,1
522,Madukwe,Male,56,USA,1,1
523,Watts,Male,37,Canada,1,1
524,Humphreys,Male,32,UK,1,1
525,Wu,Male,48,USA,0,0
526,Chin,Female,31,USA,1,1
527,Chesnokova,Male,43,USA,1,1
528,Kung,Male,26,USA,0,1
529,Lu,Female,48,UK,0,1
530,Nkemakolam,Male,30,USA,1,1
531,Walton,Female,57,Canada,1,1
532,Brookes,Female,26,Canada,1,0
533,Baldwin,Male,32,USA,1,1
534,Mai,Male,35,Canada,0,1
535,Shih,Female,40,USA,0,1
536,He,Male,59,USA,0,1
537,Fiorentini,Male,35,UK,0,1
538,Lucciano,Male,34,Canada,0,1
539,Ferreira,Female,62,UK,1,0
540,Ukaegbunam,Female,28,UK,0,1
541,De Luca,Male,37,USA,1,1
542,Milne,Male,26,USA,1,1
543,Davide,Female,42,USA,1,1
544,Kodilinyechukwu,Male,51,Canada,0,1
545,Little,Female,49,USA,1,0
546,Burns,Female,44,Canada,0,1
547,Paterson,Male,38,USA,0,1
548,Han,Female,30,UK,0,1
549,Kryukova,Male,49,USA,1,1
550,Ijendu,Male,24,USA,1,1
551,Reichard,Female,36,UK,0,1
552,Day,Male,47,UK,1,1
553,Price,Female,25,Canada,0,1
554,Bruce,Male,34,USA,0,1
555,Sumrall,Male,33,UK,0,1
556,Lu,Female,51,Canada,1,0
557,Lazarev,Male,40,UK,0,1
558,Miller,Male,41,UK,0,1
559,Wentworth-Shields,Male,53,Canada,1,1
560,Ritchie,Female,70,Canada,1,1
561,Mackenzie,Female,29,UK,1,0
562,Power,Male,61,Canada,1,0
563,Tan,Male,36,Canada,1,1
564,Pendergrass,Female,46,USA,0,1
565,Evans,Female,38,Canada,1,1
566,Hsia,Male,36,USA,1,1
567,Billson,Female,54,Canada,0,0
568,Teng,Female,63,Canada,1,1
569,Moretti,Male,31,UK,1,1
570,Jordan,Male,31,USA,1,1
571,Ts'ao,Male,44,USA,1,1
572,Osborne,Male,45,USA,0,1
573,Carslaw,Male,35,USA,0,1
574,Ch'ang,Female,49,Canada,1,1
575,Hung,Male,40,Canada,1,1
576,Gordon,Female,27,USA,1,1
577,Obialo,Female,32,Canada,0,1
578,Gray,Male,30,USA,1,0
579,Lin,Female,41,USA,0,1
580,Hopkins,Male,39,USA,1,1
581,Dobson,Male,36,Canada,0,1
582,McKay,Female,33,Canada,1,0
583,Revell,Female,57,Canada,1,0
584,Rickards,Female,30,UK,0,1
585,Begum,Female,51,UK,0,0
586,Onyinyechukwuka,Female,51,USA,0,0
587,Zuyev,Male,53,Canada,0,1
588,Nwankwo,Male,44,USA,1,1
589,Hao,Male,36,USA,0,1
590,Ma,Female,47,Canada,0,0
591,Okwuadigbo,Female,38,UK,1,1
592,Mitchell,Male,38,USA,0,1
593,Chan,Female,34,USA,1,1
594,Buchi,Male,32,Canada,0,0
595,Greco,Female,26,Canada,1,0
596,Lombardi,Female,41,UK,0,1
597,Uchenna,Male,43,Canada,0,1
598,Coffman,Male,39,UK,1,1
599,Alexandrova,Female,57,UK,0,0
600,Fallaci,Female,34,UK,1,0
601,Hudson,Female,43,USA,1,0
602,Mai,Female,26,Canada,1,1
603,Stout,Female,72,USA,1,0
604,Burke,Male,30,USA,0,1
605,Chadwick,Male,37,USA,1,1
606,Lawrence,Male,29,USA,1,1
607,Bellucci,Male,53,USA,1,0
608,Harper,Male,28,USA,0,1
609,Boyle,Male,35,USA,1,1
610,Duncan,Female,51,UK,0,1
611,Moss,Male,30,USA,0,0
612,Avdeyeva,Female,27,USA,0,1
613,Crawford,Female,64,USA,1,1
614,Lynton,Male,38,Canada,1,1
615,Duncan,Male,26,UK,1,1
616,Gether,Female,31,Canada,0,1
617,Davidson,Male,39,Canada,0,1
618,Larionova,Female,62,UK,0,1
619,Loggia,Male,42,Canada,1,1
620,Steinhoff,Female,37,Canada,1,1
621,Guerra,Male,35,USA,0,1
622,Pai,Female,40,Canada,1,0
623,Craig,Female,53,UK,1,1
624,Lazareva,Male,36,UK,1,0
625,Ch'iu,Female,48,Canada,1,0
626,Alderete,Male,35,Canada,0,0
627,Kung,Male,29,USA,1,1
628,Palermo,Male,49,USA,0,1
629,Ts'ai,Male,47,USA,1,1
630,Rahman,Female,28,Canada,0,1
631,McMillan,Female,61,USA,0,1
632,Pickering,Female,54,UK,0,1
633,Mirams,Female,33,Canada,0,1
634,Tsao,Male,44,UK,1,1
635,Douglas,Male,31,USA,0,0
636,Jideofor,Female,51,Canada,0,1
637,Bell,Female,33,Canada,0,0
638,Mairinger,Male,48,USA,1,0
639,McIntyre,Female,43,USA,1,0
640,Pagnotto,Female,36,USA,0,0
641,K'ung,Male,48,Canada,0,1
642,Feng,Female,29,USA,0,1
643,Donaldson,Female,27,USA,1,1
644,Chambers,Female,39,UK,0,1
645,Marcelo,Female,39,USA,0,1
646,Ejimofor,Female,34,USA,0,1
647,Dale,Female,30,USA,1,1
648,Pokrovsky,Male,38,USA,0,1
649,Stonebraker,Female,36,USA,0,1
650,Liang,Male,38,USA,1,1
651,Anderson,Female,49,USA,1,1
652,Christian,Male,52,USA,1,1
653,Mao,Male,42,USA,0,1
654,Campbell,Male,48,UK,1,1
655,Ginikanwa,Male,31,Canada,1,1
656,Toscani,Male,25,UK,1,1
657,Nnachetam,Male,25,Canada,1,0
658,Sagese,Female,54,UK,1,1
659,Fleming,Male,64,USA,1,1
660,Grubb,Female,30,USA,0,1
661,Napolitani,Female,41,UK,1,1
662,Anenechi,Male,57,Canada,1,1
663,Chandler,Male,31,USA,1,1
664,Howells,Male,46,USA,1,1
665,Akeroyd,Female,41,USA,1,0
666,Onwumelu,Male,33,USA,1,1
667,Wallace,Female,31,USA,1,0
668,Uwaezuoke,Male,29,USA,1,1
669,Loyau,Male,46,Canada,1,1
670,Small,Female,42,USA,1,1
671,Bledsoe,Female,48,UK,0,0
672,Kao,Male,42,USA,1,0
673,Wickens,Male,26,USA,0,0
674,Wertheim,Female,32,Canada,1,1
675,He,Male,35,Canada,1,1
676,Jarvis,Female,39,USA,1,1
677,P'an,Female,38,Canada,0,1
678,Repina,Male,45,UK,1,0
679,Pugliesi,Female,70,Canada,1,1
680,Blakey,Female,38,Canada,0,1
681,Nucci,Male,55,USA,1,0
682,Higinbotham,Male,58,Canada,1,0
683,Achebe,Female,41,UK,1,0
684,Russo,Female,40,UK,0,0
685,Trevisani,Male,24,USA,0,0
686,Dobie,Male,42,Canada,0,0
687,Maccallum,Female,31,USA,1,1
688,Watkins,Female,45,UK,0,1
689,Mitchel,Female,51,USA,0,1
690,Ferdinand,Female,36,USA,0,1
691,Otitodilinna,Male,27,UK,0,1
692,Mamelu,Male,43,USA,0,1
693,Beneventi,Male,36,UK,0,0
694,Perrodin,Male,34,USA,1,1
695,Chinagorom,Female,45,USA,1,1
696,Napolitano,Male,57,USA,1,1
697,Edgar,Male,62,Canada,1,1
698,Walker,Female,57,UK,1,1
699,Steele,Male,36,Canada,1,1
700,Elkins,Male,33,UK,1,1
701,Hao,Female,32,USA,0,1
702,Toscano,Male,30,USA,0,0
703,Savage,Female,49,Canada,1,0
704,Okwuadigbo,Male,36,Canada,1,0
705,Mordvinova,Male,36,UK,1,1
706,Welch,Male,40,UK,0,1
707,Kent,Male,35,UK,1,1
708,Campbell,Male,42,USA,0,1
709,Cooper,Female,35,USA,1,0
710,Mazzi,Female,34,USA,0,1
711,Fisher,Male,48,USA,0,0
712,Summers,Male,35,UK,0,1
713,Brady,Male,38,Canada,0,1
714,Nicholls,Female,41,USA,0,1
